Bill No.,Bill Year,Short Title of Bill,Bill Category,Ministry,Act No.,Date of Introduction,Date of Passing in Rajya Sabha,Date of Passing in Lok Sabha,Date of Assented,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL for Bill Errata
XLIII,2016,"THE MATERNITY BENEFIT (AMENDMENT) BILL, 2017",Ordinary Bill,LABOUR AND EMPLOYMENT,6 of 2017,11/8/2016,11/8/2017,9/3/2017,27/3/2017,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/maternity-int 11 8 16.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/maternity-6 of 17.pdf,NA
XVII,2016,"THE SIKH GURDWARAS (AMENDMENT) BILL, 2016",Ordinary Bill,HOME AFFAIRS,21 of 2016,15/3/2016,16/3/2016,25/4/2016,5/5/2016,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/sikh 238E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XVII-F_2016_RS_Eng.pdf,NA
LXIII,2015,"THE DR. RAJENDRA PRASAD CENTRAL AGRICULTURAL UNIVERSITY BILL, 2016",Ordinary Bill,AGRICULTURE,32 of 2016,23/12/2015,11/5/2016,11/5/2016,28/5/2016,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/rajndr univ-int-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LXIII-F_2015_LS_Eng.pdf,NA
XXX,2015,"THE HOMOEOPATHY CENTRAL COUNCIL ( AMENDMENT) BILL, 2015",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,6/5/2015,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/hompath-int -E.pdf,NA,NA
XXV,2015,"THE COMMERCIAL COURTS, COMMERCIAL DIVISION AND COMMERCIAL APPELLATE DIVISION OF HIGH COURTS BILL, 2015",Ordinary Bill,LAW AND JUSTICE,NA,29/4/2015,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Com HC-E.pdf,NA,NA
LIII,2014,"THE ANTI-HIJACKING BILL, 2016",Ordinary Bill,CIVIL AVIATION,30 of 2016,17/12/2014,4/5/2016,9/5/2016,13/5/2016,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/anti hjk-E- int.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LIII-F_2014_RS_Eng.pdf,NA
LIII,2014,"THE ANTI-HIJACKING BILL, 2016",Ordinary Bill,CIVIL AVIATION,30 of 2016,17/12/2014,4/5/2016,9/5/2016,13/5/2016,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/anti hjk-E- int.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LIII-F_2014_RS_Eng.pdf,NA
X,2014,"THE FOOD SAFETY AND STANDARDS (AMENDMENT ) BILL, 2014",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,19/2/2014,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Food-E.pdf,NA,NA
VII,2014,"THE TRIBUNALS, APPELLATE TRIBUNALS AND OTHER AUTHORITIES (CONDITIONS OF SERVICE) BILL, 2014",Ordinary Bill,LAW AND JUSTICE,NA,19/2/2014,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Tribnul-E.pdf,NA,NA
VIII,2014,"THE WAQF PROPERTIES (EVICTION OF UNAUTHORISED OCCUPANTS), BILL, 2014",Ordinary Bill,MINORITY AFFAIRS,NA,18/2/2014,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Wakf-E.pdf,NA,NA
IX,2014,"THE DELHI HOTELS (CONTROL OF ACCOMMODATION) REPEAL BILL, 2014",Ordinary Bill,URBAN DEVELOPMENT,NA,18/2/2014,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Del hotel-E.pdf,NA,NA
VI,2014,"THE DELHI HIGH COURT (AMENDMENT) BILL, 2015",Ordinary Bill,LAW AND JUSTICE,23 of 2015,17/2/2014,6/5/2015,5/8/2015,10/8/2015,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Del high court-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/VI_F_2014_RS.pdf,NA
IV,2014,"THE CONSTITUTION (SCHEDULED CASTES) ORDERS (AMENDMENT) BILL, 2015",Ordinary Bill,SOCIAL JUSTICE AND EMPOWERMENT,4 of 2015,11/2/2014,24/2/2015,17/3/2015,20/3/2015,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/IV2014RS.pdf,NA,NA
III,2014,"THE HUMAN IMMUNODEFICIENCY VIRUS AND ACQUIRED IMMUNE DEFICIENCY SYNDROME (PREVENTION AND CONTROL) BILL, 2017",Ordinary Bill,HEALTH AND FAMILY WELFARE,16 of 2017,11/2/2014,21/3/2017,11/4/2017,20/4/2017,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/III2014ERS.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/III-F_2014_RS_Eng.pdf,NA
I,2014,"THE RIGHTS OF PERSONS WITH DISABILITIES BILL, 2016",Ordinary Bill,SOCIAL JUSTICE AND EMPOWERMENT,49 of 2016,7/2/2014,14/12/2016,16/12/2016,27/12/2016,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/I2014RS.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/IF_2014_RS.pdf,NA
XV,2013,"THE CONSTITUTION ( ONE HUNDRED AND NINETEENTH AMENDMENT) BILL, 2013",Ordinary Bill,EXTERNAL AFFAIRS,NA,18/12/2013,6/5/2015,7/5/2015,28/5/2015,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/119-E.pdf,NA,NA
LXVI,2013,"THE ASSAM LEGISLATIVE COUNCIL BILL, 2013",Ordinary Bill,LAW AND JUSTICE,NA,10/12/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Assam As-E.pdf,NA,NA
LXVII,2013,"THE READJUSTMENT OF REPRESENTATION OF SCHEDULED CASTES AND SCHEDULED TRIBES IN PARLIAMENTARY AND ASSEMBLY CONSTITUENCIES (THIRD) BILL, 2013",Ordinary Bill,LAW AND JUSTICE,NA,10/12/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/read third-E.pdf,NA,NA
LXII,2013,"THE REPRESENTATION OF THE PEOPLE (SECOND AMENDMENT AND VALIDATION) BILL, 2013",Ordinary Bill,LAW AND JUSTICE,NA,30/8/2013,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/RP-2-EI.pdf,NA,NA
LXI,2013,"THE JUDICIAL APPOINTMENTS COMMISSION BILL, 2013",Ordinary Bill,LAW AND JUSTICE,NA,29/8/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Judcial-EI.pdf,NA,NA
LX,2013,"THE CONSTITUTION (ONE HUNDRED AND TWENTIETH AMENDMENT) BILL, 2013",Constitutional Amendment Bill,LAW AND JUSTICE,NA,29/8/2013,NA,NA,NA,Lapsed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/120-EI.pdf,NA,NA
LIX,2013,"THE DELHI RENT (REPEAL) BILL, 2013",Ordinary Bill,URBAN DEVELOPMENT,NA,29/8/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/delhirent-EI.pdf,NA,NA
LVIII,2013,"THE DRUGS AND COSMETICS (AMENDMENT) BILL, 2013",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,29/8/2013,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/drg cos-EI.pdf,NA,NA
LVI,2013,"THE NALANDA UNIVERSITY (AMENDMENT) BILL, 2013",Ordinary Bill,EXTERNAL AFFAIRS,NA,26/8/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/nalnda-E I.pdf,NA,NA
LVII,2013,"THE REPRESENTATION OF THE PEOPLE (AMENDMENT AND VALIDATION) BILL, 2013",Ordinary Bill,LAW AND JUSTICE,29 of 2013,26/8/2013,27/8/2013,6/9/2013,20/9/2013,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/RP AV-EI.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LVIIF_2013_LS_Eng.pdf,NA
LIII,2013,"THE PREVENTION OF CORRUPTION (AMENDMENT) BILL, 2013",Ordinary Bill,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",NA,19/8/2013,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/corption-E I.pdf,NA,NA
